Product category,Year,Notification type,Risk,Notified by,Action taken,Distribution status,Risk decision,Country of origin,
meat and meat products (other than poultry),26/05/2005,alert,official control on the market,Norway,product recall or withdrawal,distribution on the market (possible),undecided,Namibia,
meat and meat products (other than poultry),15/06/2005,information,border control - consignment detained,Norway,re-dispatch,no distribution,undecided,Namibia,
meat and meat products (other than poultry),21/06/2005,information,border control - consignment detained,Norway,re-dispatch,no distribution,undecided,Namibia,
meat and meat products (other than poultry),21/06/2005,information,border control - consignment detained,Norway,re-dispatch,no distribution,undecided,Namibia,
meat and meat products (other than poultry),21/06/2005,information,border control - consignment detained,Norway,re-dispatch,no distribution,undecided,Namibia,
meat and meat products (other than poultry),31/08/2005,alert,official control on the market,Norway,return to consignor,distribution on the market (possible),undecided,Namibia,
meat and meat products (other than poultry),30/01/2009,border rejection,border control - consignment detained,Norway,re-dispatch,no distribution,undecided,Namibia,
meat and meat products (other than poultry),03/02/2009,border rejection,border control - consignment detained,Norway,re-dispatch,no distribution,undecided,Namibia,
meat and meat products (other than poultry),20/04/2009,border rejection,border control - consignment detained,Norway,re-dispatch,no distribution,undecided,Namibia,
herbs and spices,30/10/2007,information,official control on the market,Poland,withdrawal from the market,distribution restricted to notifying country,undecided,Nigeria,
gastropods,26/12/2008,information,border control - consignment released,Germany,destruction,distribution restricted to notifying country,undecided,Nigeria,
herbs and spices,16/04/2012,border rejection,border control - consignment detained,Finland,destruction,no distribution,undecided,Nigeria,
herbs and spices,24/04/2012,alert,official control on the market,Germany,withdrawal from the market,distribution to other member countries,undecided,Nigeria,
"nuts, nut products and seeds",29/01/2015,border rejection,border control - consignment under customs,Italy,re-dispatch,product allowed to travel to destination under customs seals,serious,Nigeria,
"nuts, nut products and seeds",27/05/2015,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
herbs and spices,02/06/2015,alert,official control on the market,Netherlands,withdrawal from the market,distribution restricted to notifying country,serious,Nigeria,
fruits and vegetables,06/08/2015,alert,official control on the market,Germany,withdrawal from the market,information on distribution not (yet) available,serious,Nigeria,
fruits and vegetables,23/10/2015,alert,official control on the market,Germany,no action taken,distribution restricted to notifying country,serious,Nigeria,
herbs and spices,29/08/2016,alert,company's own check,Netherlands,withdrawal from the market,no distribution from notifying country,serious,Nigeria,
"nuts, nut products and seeds",22/02/2017,alert,company's own check,Germany,return to consignor,distribution restricted to notifying country,serious,Nigeria,
"nuts, nut products and seeds",24/03/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",28/03/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",07/04/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",07/04/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",07/04/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",27/06/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",09/08/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",18/09/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",06/11/2017,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",15/11/2017,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",22/12/2017,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",03/01/2018,border rejection,border control - consignment detained,Netherlands,informing consignor,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",16/03/2018,border rejection,border control - consignment detained,Netherlands,informing consignor,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",19/03/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",20/03/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",20/03/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",21/03/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",04/05/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",17/05/2018,border rejection,border control - consignment detained,Poland,official detention,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",18/05/2018,border rejection,border control - consignment detained,Cyprus,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",24/05/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",29/05/2018,border rejection,border control - consignment detained,Netherlands,informing consignor,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",30/05/2018,border rejection,border control - consignment detained,Netherlands,informing consignor,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",31/05/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",13/06/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",13/06/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",20/06/2018,border rejection,border control - consignment detained,Poland,official detention,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",20/06/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",26/06/2018,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",05/07/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",12/07/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",12/07/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",13/07/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",16/07/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",16/07/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria,
